Entity,Code,Year,"Population, female (% of total population)"
Albania,ALB,1960,48.59332275
Albania,ALB,1961,48.59738922
Albania,ALB,1962,48.60362244
Albania,ALB,1963,48.61130905
Albania,ALB,1964,48.61766052
Albania,ALB,1965,48.62145996
Albania,ALB,1966,48.62303543
Albania,ALB,1967,48.62210846
Albania,ALB,1968,48.62088776
Albania,ALB,1969,48.62173462
Albania,ALB,1970,48.62617111
Albania,ALB,1971,48.63476563
Albania,ALB,1972,48.64577484
Albania,ALB,1973,48.65766907
Albania,ALB,1974,48.66702271
Albania,ALB,1975,48.67205429
Albania,ALB,1976,48.67226028
Albania,ALB,1977,48.66908646
Albania,ALB,1978,48.66444016
Albania,ALB,1979,48.66082001
Albania,ALB,1980,48.66032028
Albania,ALB,1981,48.6685524
Albania,ALB,1982,48.6860466
Albania,ALB,1983,48.70375443
Albania,ALB,1984,48.71001434
Albania,ALB,1985,48.70014191
Albania,ALB,1986,48.6584816
Albania,ALB,1987,48.5959816
Albania,ALB,1988,48.56103134
Albania,ALB,1989,48.61455917
Albania,ALB,1990,48.79119873
Albania,ALB,1991,49.12435913
Albania,ALB,1992,49.5929451
Albania,ALB,1993,50.10784912
Albania,ALB,1994,50.52674103
Albania,ALB,1995,50.73742676
Albania,ALB,1996,50.68214035
Albania,ALB,1997,50.4036293
Albania,ALB,1998,50.00516129
Albania,ALB,1999,49.63525009
Albania,ALB,2000,49.39656448
Albania,ALB,2001,49.3185463
Albania,ALB,2002,49.3652153
Albania,ALB,2003,49.49222565
Albania,ALB,2004,49.62899017
Albania,ALB,2005,49.72236633
Albania,ALB,2006,49.76459503
Albania,ALB,2007,49.77269363
Albania,ALB,2008,49.74764252
Albania,ALB,2009,49.69606781
Albania,ALB,2010,49.62505341
Albania,ALB,2011,49.53020096
Albania,ALB,2012,49.41094971
Albania,ALB,2013,49.2845192
Albania,ALB,2014,49.17337799
Albania,ALB,2015,49.09379578
Albania,ALB,2016,49.05299759
Albania,ALB,2017,49.04639816
Albania,ALB,2018,49.06309509
Albania,ALB,2019,49.08610535
Albania,ALB,2020,49.10299683
Austria,AUT,1960,53.41923904
Austria,AUT,1961,53.38853455
Austria,AUT,1962,53.35431671
Austria,AUT,1963,53.31715012
Austria,AUT,1964,53.27805328
Austria,AUT,1965,53.23777008
Austria,AUT,1966,53.19651794
Austria,AUT,1967,53.15449142
